Index,Exp_condition,PostQues_3,PostQues_10,PostQues_14,PostQues_20,PostQues_25,false_memories
209,chatbot,2,5,4,6,2,2
210,static-chatbot,5,6,5,5,4,4
211,none,2,4,2,4,3,0
212,none,2,2,2,2,4,0
213,static-chatbot,7,7,3,6,4,3
214,chatbot,6,7,4,4,4,2
215,chatbot,2,7,7,7,2,3
216,chatbot,2,4,3,4,4,0
217,static-chatbot,1,6,6,6,4,3
218,survey-based,1,4,2,4,2,0
220,survey-based,7,2,3,4,1,1
221,survey-based,6,3,2,3,2,1
222,static-chatbot,4,5,5,6,4,3
223,chatbot,4,5,2,6,5,3
224,static-chatbot,1,2,2,4,4,0
225,none,7,6,2,3,2,2
226,static-chatbot,4,4,2,4,3,0
227,chatbot,2,3,2,2,2,0
228,chatbot,2,6,6,4,2,2
229,static-chatbot,2,6,3,5,3,2
230,chatbot,4,6,2,4,4,1
231,survey-based,2,6,4,6,4,2
232,survey-based,4,5,6,7,1,3
233,survey-based,2,6,3,5,3,2
234,survey-based,2,3,2,7,2,1
235,survey-based,4,4,2,4,3,0
236,survey-based,1,5,4,4,5,2
237,static-chatbot,5,7,2,6,4,3
239,static-chatbot,1,5,3,6,4,2
240,survey-based,4,2,1,7,1,1
242,chatbot,4,6,2,4,2,1
243,survey-based,4,5,4,4,2,1
